id,name,external_id,external_id_type,entity_type,place_id,province_id,autonomous_region_id,dir3,ute_id,administration_level,parent_id,nifs,custom_place_id,is_contractor,is_assignee,slug,address,postal_code,country_name,country_code,place_name,import_pending
28525,Alcaldía del Ayuntamiento Torrente de Cinca,,,,22234,22,2,L01222343,,,,{P2232500E},,t,f,alcaldadelayuntamientotorrentedecinca,Pza Ayuntamiento,22590,España,ES,Torrente de Cinca,f
244110,Fundación Deporte Galego,,,,,,,A12009487,,,,{A12009487},,t,f,fundacindeportegalego,,,,,,f
68618,Fundación Cidade da Cultura Galicia,,,2,,,12,A12024998,,,,"{A12024998,A12009435}",,t,f,fundacincidadedaculturagalicia,,,,,,f
580215,Fundació Teatre Princpal de Palma,,,,7040,7,4,LA0010883,,,,{G57076812},,t,t,fundaciteatreprincpaldepalma,"Carrer de la Riera, 2A",7003,España,ES,Palma de Mallorca,f
243566,Consorci Sanitari Integral,,,,,,,A09006567,,,,{A09006567},,t,f,consorcisanitariintegral,,,,,,f
64536,"Consellería de Educación, Universidade e Formación Profesional",,,,,,,A12025000,,,,{A12025000},,t,f,conselleradeeducacinuniversidadeeformacinprofesional,,,,,,f
243610,Consorci d'Educació de Barcelona,,,,,,,A09006457,,,,{A09006457},,t,f,consorcideducacidebarcelona,,,,,,f
40588,Consorcio de Transportes de Mallorca,,,1,7040,7,4,A04003678,,,,{Q0700528C},,t,f,consorciodetransportesdemallorca,"C/ d'Eusebi Estada, 28",7004,España,ES,Palma de Mallorca,f
68436,Axencia Galega de Industrias Culturais (AGADIC),,,,,,,A12024999,,,,"{A12024999,A12009433}",,t,f,axenciagalegadeindustriasculturaisagadic,,,,,,f
818608,Junta de Gobierno del Ayuntamiento de Escalonilla,,,,45062,45,8,L01450627,,,,{P4506200G},,t,t,juntadegobiernodelayuntamientodeescalonilla,"Plaza de España, 1",45517,España,ES,Escalonilla,f
